Σχολή, Εξάμηνο, Ημέρα, Ώρα, Μάθημα, Καθηγητής, Χώρος, Φοιτητές
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 9:00-11:00, Διαδικαστικός Προγραμματισμός, Χαλκίδης, Εργαστήριο 234, ΓΚΕ-ΙΩΑΝ
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 9:00-11:00, Διαδικαστικός Προγραμματισμός, Πρωτοπαπαδάκης, Εργαστήριο ΚΥΔ, Α-ΓΚΑ & Ab-Zu
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 9:00-11:00, Διαδικαστικός Προγραμματισμός, Σακελλαρίου, Εργαστήριο 334, ΚΑ-ΛΑΣ
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 11:00-13:00, Διαδικαστικός Προγραμματισμός, Χαλκίδης, Εργαστήριο 234, ΛΑΧ-ΜΠΟΥΦ
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 11:00-13:00, Διαδικαστικός Προγραμματισμός, Πρωτοπαπαδάκης, Εργαστήριο ΚΥΔ, ΤΣΑΚ-Ω
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 11:00-13:00, Διαδικαστικός Προγραμματισμός, Σακελλαρίου, Εργαστήριο 334, ΣΑΡ-ΤΣΑΓΚ
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 13:00-15:00, Διαδικαστικός Προγραμματισμός, Χαλκίδης, Εργαστήριο 234, ΜΥΛ-ΣΑΠ
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 13:00-16:00, Μαθηματική Ανάλυση, Χρήστου-Βαρζακέλης και Γιαννουτάκης, Αμφιθέατρο 13, Α-ΚΑΤΣΩ & Ab-Zu
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Δευτέρα, 16:00-19:00, Εισαγωγή στην Επιστήμη Υπολογιστών, Μαργαρίτης, Αμφιθέατρο 12, 
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Τρίτη, 9:00-11:00, Γραμμική Άλγεβρα, Σιφαλέρας, Αμφιθέατρο 13, ΠΕ-Ω
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Τρίτη, 11:00-13:00, Γραμμική Άλγεβρα, Σιφαλέρας, Αμφιθέατρο 13, ΚΕ-ΠΑΥ
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Τρίτη, 13:00-15:00, Γραμμική Άλγεβρα, Σιφαλέρας, Αμφιθέατρο 13, Α-ΚΑΤΣΩ & Ab-Zu
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Τρίτη, 11:00-14:00, Αλγόριθμοι, Σαμαράς, Αμφιθέατρο 12, ΠΕ-Ω
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Τρίτη, 14:00-15:00, Μαθηματική Ανάλυση Φροντιστήριο, Χαλκίδης, Αμφιθέατρο 11, ΚΕ-ΠΑΥ
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Τρίτη, 15:00-16:00, Μαθηματική Ανάλυση Φροντιστήριο, Χαλκίδης, Αμφιθέατρο 11, Α-ΚΑΤΣΩ & Ab-Zu
Εφαρμοσμένης πληροφορικής, εξάμηνο 1, Τρίτη, 16:00-17:00, Μαθηματική Ανάλυση Φροντιστήριο, Χαλκίδης, Αμφιθέατρο 11, ΠΕ-Ω
